Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
61,14,9,173,5,Some Random Commen with Id 61
62,14,9,93,9,Some Random Commen with Id 62
63,14,9,61,0,Some Random Commen with Id 63
64,14,9,16,1,Some Random Commen with Id 64
65,14,9,5,7,Some Random Commen with Id 65
66,14,9,137,0,Some Random Commen with Id 66
67,14,9,90,8,Some Random Commen with Id 67
68,14,9,96,4,Some Random Commen with Id 68
69,14,9,109,4,Some Random Commen with Id 69
70,15,6,168,2,Some Random Commen with Id 70
71,15,6,149,1,Some Random Commen with Id 71
72,15,6,125,0,Some Random Commen with Id 72
73,16,9,58,9,Some Random Commen with Id 73
74,17,9,125,8,Some Random Commen with Id 74
75,17,9,51,4,Some Random Commen with Id 75
76,17,9,111,4,Some Random Commen with Id 76
77,17,9,113,7,Some Random Commen with Id 77
78,17,9,176,7,Some Random Commen with Id 78
79,18,1,184,6,Some Random Commen with Id 79
80,18,1,192,8,Some Random Commen with Id 80
81,18,1,37,5,Some Random Commen with Id 81
82,18,1,69,8,Some Random Commen with Id 82
83,18,1,54,9,Some Random Commen with Id 83
84,18,1,3,1,Some Random Commen with Id 84
85,18,1,163,2,Some Random Commen with Id 85
86,18,1,41,6,Some Random Commen with Id 86
87,18,1,150,7,Some Random Commen with Id 87
88,19,3,138,9,Some Random Commen with Id 88
89,19,3,20,0,Some Random Commen with Id 89
90,19,3,126,7,Some Random Commen with Id 90
91,19,3,137,2,Some Random Commen with Id 91
92,19,3,126,7,Some Random Commen with Id 92
93,19,3,186,1,Some Random Commen with Id 93
94,19,3,143,1,Some Random Commen with Id 94
95,19,3,140,5,Some Random Commen with Id 95
96,19,3,13,3,Some Random Commen with Id 96
97,20,2,171,9,Some Random Commen with Id 97
98,20,2,106,0,Some Random Commen with Id 98
99,20,2,189,9,Some Random Commen with Id 99
100,20,2,126,7,Some Random Commen with Id 100
101,20,2,165,0,Some Random Commen with Id 101
102,20,2,96,4,Some Random Commen with Id 102
103,20,2,121,4,Some Random Commen with Id 103
104,20,2,38,0,Some Random Commen with Id 104
105,20,2,158,5,Some Random Commen with Id 105
106,21,8,19,9,Some Random Commen with Id 106
107,21,8,44,4,Some Random Commen with Id 107
108,21,8,180,5,Some Random Commen with Id 108
109,21,8,64,9,Some Random Commen with Id 109
110,21,8,16,8,Some Random Commen with Id 110
111,23,8,86,2,Some Random Commen with Id 111
112,23,8,41,4,Some Random Commen with Id 112
113,23,8,170,0,Some Random Commen with Id 113
114,23,8,148,8,Some Random Commen with Id 114
115,23,8,83,2,Some Random Commen with Id 115
116,24,6,4,6,Some Random Commen with Id 116
117,24,6,33,0,Some Random Commen with Id 117
118,24,6,30,0,Some Random Commen with Id 118
119,24,6,50,3,Some Random Commen with Id 119
120,24,6,95,9,Some Random Commen with Id 120
121,25,1,55,7,Some Random Commen with Id 121
122,25,1,180,4,Some Random Commen with Id 122
123,26,4,31,8,Some Random Commen with Id 123
124,26,4,130,0,Some Random Commen with Id 124
125,26,4,114,8,Some Random Commen with Id 125
126,26,4,97,0,Some Random Commen with Id 126
127,26,4,190,2,Some Random Commen with Id 127
128,26,4,12,0,Some Random Commen with Id 128
129,27,1,10,3,Some Random Commen with Id 129
130,27,1,133,3,Some Random Commen with Id 130
131,27,1,154,0,Some Random Commen with Id 131
132,29,7,165,9,Some Random Commen with Id 132
133,29,7,166,7,Some Random Commen with Id 133
134,29,7,91,5,Some Random Commen with Id 134
135,29,7,190,1,Some Random Commen with Id 135
136,29,7,31,5,Some Random Commen with Id 136
137,29,7,115,2,Some Random Commen with Id 137
138,29,7,75,3,Some Random Commen with Id 138
139,30,1,112,1,Some Random Commen with Id 139
140,31,2,106,1,Some Random Commen with Id 140
141,31,2,108,7,Some Random Commen with Id 141
142,31,2,118,7,Some Random Commen with Id 142
143,31,2,53,1,Some Random Commen with Id 143
144,31,2,146,9,Some Random Commen with Id 144
145,31,2,192,4,Some Random Commen with Id 145
146,31,2,33,7,Some Random Commen with Id 146
147,31,2,113,1,Some Random Commen with Id 147
148,31,2,194,7,Some Random Commen with Id 148
149,32,6,125,6,Some Random Commen with Id 149
150,33,5,137,2,Some Random Commen with Id 150
151,33,5,48,8,Some Random Commen with Id 151
152,34,0,182,0,Some Random Commen with Id 152
153,35,6,54,3,Some Random Commen with Id 153
154,35,6,63,6,Some Random Commen with Id 154
155,35,6,122,6,Some Random Commen with Id 155
156,36,1,159,9,Some Random Commen with Id 156
157,36,1,83,1,Some Random Commen with Id 157
158,36,1,115,6,Some Random Commen with Id 158
159,36,1,46,0,Some Random Commen with Id 159
160,37,0,173,1,Some Random Commen with Id 160
161,37,0,43,7,Some Random Commen with Id 161
162,37,0,81,3,Some Random Commen with Id 162
163,37,0,17,1,Some Random Commen with Id 163
164,38,5,15,8,Some Random Commen with Id 164
165,38,5,109,9,Some Random Commen with Id 165
166,38,5,101,7,Some Random Commen with Id 166
167,38,5,180,6,Some Random Commen with Id 167
168,38,5,166,1,Some Random Commen with Id 168
169,38,5,102,9,Some Random Commen with Id 169
170,38,5,94,0,Some Random Commen with Id 170
171,38,5,79,3,Some Random Commen with Id 171
172,38,5,161,6,Some Random Commen with Id 172
173,39,9,124,7,Some Random Commen with Id 173
174,39,9,156,5,Some Random Commen with Id 174
175,39,9,66,2,Some Random Commen with Id 175
176,39,9,21,6,Some Random Commen with Id 176
177,39,9,157,2,Some Random Commen with Id 177
